0.413048	15.569946	0.294953	32.398468	0.187491	5.711404	0.080701	61.889874	0.023736	1.334118	0.000049
0.732354	11.553918	0.753896	4.595831	0.283819	1.546299	0.190003	26.463964	0.039139	0.377523	0.000487
0.974637	4.334946	0.158472	0.342451	0.811855	97.102966	0.262416	201.363831	0.790108	1.409234	0.002542
1.533712	42.662079	0.638283	0.59542	0.601052	99.106499	0.106139	0.15134	1.118414	1.843093	0.002511
2.085185	23.494068	1.06458	1.137894	1.062788	61.238976	0.140515	0.114886	0.641784	0.399036	0.003823
2.657506	14.780758	1.078079	0.776775	1.490909	42.086842	-4.24107	-0.000294	0.713791	0.239535	4.297983
11.89378	0.000158	3.277479	10.232723	1.858092	30.34469	0.858927	0.656065	0.912985	0.217287	-11.8049
2.960427	14.182259	2.508818	5.936858	0.637853	0.112726	0.722838	34.958481	1.142756	0.39024	0.027014
3.511943	10.687859	2.772244	4.380466	0.678385	0.093982	0.915159	27.255203	1.089261	0.313066	0.032557
4.183749	8.175457	2.905726	3.252536	0.520513	0.063295	1.135641	21.81391	1.228065	0.224952	0.025576
4.910127	3.281434	3.081783	9.119178	1.262067	0.102763	1.098938	132.013947	0.560991	0.405878	0.079712
4.708971	4.875207	1.194814	108.506081	1.558157	0.111516	1.170413	48.292408	3.239403	1.928171	0.126842
4.730796	3.628931	2.313951	43.051167	1.54198	0.09596	1.117564	108.932388	3.154754	1.555918	0.139509
5.275329	2.631338	3.191038	33.730728	1.511514	0.081119	1.356849	86.288643	2.519114	1.170087	0.145073
1.950541	0.908139	4.14693	27.044952	1.49456	0.07128	1.522042	67.520187	5.729711	1.981173	0.155233
6.372157	1.514347	5.154568	22.092527	1.473732	0.061373	1.635073	55.445175	1.209372	0.646925	0.154722
1.446071	0.052357	6.870609	1.193165	6.151801	18.343416	1.750347	46.398396	0.634168	0.401005	0.146773
7.188004	0.956221	6.638454	15.339877	0.45418	15.339862	1.929593	39.043823	1.523654	0.062409	0.265954
8.163991	12.816323	7.146945	0.808945	1.07014	210.327011	0.877316	39.597652	1.486434	0.052821	0.253614
8.593655	10.460644	1.477324	0.041891	1.436254	81.390381	1.182839	169.847839	7.113258	0.688098	0.196255
1.476566	53.131023	1.487278	0.035325	1.600187	137.319489	9.177463	9.098031	7.09975	0.602102	0.157765
9.818524	8.001879	1.522646	0.029763	1.703101	39.885422	1.768774	120.157997	7.082555	0.532405	0.102473
10.473575	7.08194	1.547881	0.02604	1.986381	31.909672	1.865616	108.022842	7.05625	0.474882	0.067744
11.007069	6.366281	1.555477	0.023987	2.985293	23.244839	1.347855	105.774498	7.034779	0.429369	0.06551
11.709542	5.59712	1.733414	0.0178	2.673141	21.78842	2.023368	89.517914	7.00318	0.383054	-0.147293
12.311098	5.009415	1.876623	0.014461	3.066177	18.74304	2.070451	82.767876	6.975185	0.346506	-0.304931
12.91451	4.507138	2.481908	0.009126	3.466894	16.438129	2.106351	76.98732	6.960892	0.314418	-0.936572
13.521865	4.077277	6.947285	0.286763	3.866028	14.622634	2.1359	71.96608	4.284731	0.004437	-2.762697
14.014192	3.73828	4.784577	0.003744	5.056806	13.034982	1.457971	72.554794	6.932996	0.265666	-3.254477
14.741002	3.388232	6.907748	0.243315	4.642337	11.903689	2.191766	63.31213	38.424042	0.000397	-36.915829
15.758946	3.121754	6.841123	0.226057	4.121016	12.482196	2.714681	66.203621	2.395246	0.007238	-0.847395
16.540613	2.866618	1.5679	0.012198	3.727829	13.432163	3.345098	58.866047	6.785079	0.210974	0.018726
17.025642	2.597739	4.503441	0.003012	3.715904	14.272119	3.9372	50.437996	6.790175	0.193015	-2.984117
17.354071	2.349787	4.653248	0.00255	4.259489	15.57946	4.136455	45.181202	6.749163	0.177432	-3.160982
17.55057	2.119226	5.411882	16.557184	3.93718	0.002481	3.880645	42.164009	6.707793	0.162121	-2.492088
17.655279	1.908231	6.848105	16.606236	4.171004	0.001598	3.44676	39.917473	6.6852	0.146896	-2.810592
